Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	649489	1	OK	0.7051280	-0.2070607	-0.6626128	-0.1444459	37.918	64.446	-1284.979	0.1004646	0	Stray Markers	649489	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.649	-20.766	-1238.099
2	Port 2: NDI 8700340  s/n:34802401	649492	1	OK	0.7049873	-0.2063198	-0.6626950	-0.1458095	36.766	64.332	-1286.206	0.1161124	0	Stray Markers	649492	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.637	-20.728	-1237.882
2	Port 2: NDI 8700340  s/n:34802401	649495	1	OK	0.7047100	-0.2064117	-0.6629416	-0.1458987	35.771	64.244	-1287.262	0.1089992	0	Stray Markers	649495	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.642	-20.754	-1237.923
2	Port 2: NDI 8700340  s/n:34802401	649498	1	OK	0.7048102	-0.2058018	-0.6627056	-0.1473415	34.485	64.138	-1288.654	0.1009403	0	Stray Markers	649498	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.643	-20.773	-1237.962
2	Port 2: NDI 8700340  s/n:34802401	649501	1	OK	0.7043427	-0.2056628	-0.6630228	-0.1483409	33.357	64.024	-1289.852	0.1163541	0	Stray Markers	649501	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.675	-20.871	-1238.438
2	Port 2: NDI 8700340  s/n:34802401	649504	1	OK	0.7046411	-0.2051425	-0.6625028	-0.1499582	31.952	63.920	-1291.521	0.1175825	0	Stray Markers	649504	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.687	-20.893	-1238.432
2	Port 2: NDI 8700340  s/n:34802401	649507	1	OK	0.7043459	-0.2050854	-0.6626650	-0.1507047	30.662	63.765	-1292.860	0.1063959	0	Stray Markers	649507	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.697	-20.921	-1238.591
2	Port 2: NDI 8700340  s/n:34802401	649510	1	OK	0.7044463	-0.2041438	-0.6624717	-0.1523545	29.268	63.631	-1294.481	0.0922627	0	Stray Markers	649510	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.702	-20.937	-1238.646
2	Port 2: NDI 8700340  s/n:34802401	649513	1	OK	0.7044295	-0.2045195	-0.6622468	-0.1529056	27.928	63.518	-1295.942	0.1092757	0	Stray Markers	649513	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.700	-20.948	-1238.656
2	Port 2: NDI 8700340  s/n:34802401	649516	1	OK	0.7047587	-0.2045598	-0.6615677	-0.1542681	26.429	63.364	-1297.578	0.0912345	0	Stray Markers	649516	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.715	-20.972	-1238.791
