Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 2: NDI 8700340  s/n:34802401	474365	1	OK	0.8063436	-0.1953824	-0.4474401	-0.3338160	78.050	-15.273	-1247.342	0.1071916	0	Stray Markers	474365	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.470	-18.490	-1241.559
2	Port 2: NDI 8700340  s/n:34802401	474368	1	OK	0.8057348	-0.1945326	-0.4484417	-0.3344377	78.001	-14.727	-1247.365	0.1109973	0	Stray Markers	474368	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.416	-18.342	-1241.280
2	Port 2: NDI 8700340  s/n:34802401	474371	1	OK	0.8047898	-0.1941744	-0.4490132	-0.3361501	77.996	-14.467	-1247.386	0.1066401	0	Stray Markers	474371	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.414	-18.364	-1240.939
2	Port 2: NDI 8700340  s/n:34802401	474374	1	OK	0.8046205	-0.1940147	-0.4488870	-0.3368155	78.013	-14.103	-1247.361	0.1062814	0	Stray Markers	474374	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.413	-18.253	-1240.986
2	Port 2: NDI 8700340  s/n:34802401	474377	1	OK	0.8041132	-0.1937524	-0.4490462	-0.3379639	77.979	-13.755	-1247.335	0.1034151	0	Stray Markers	474377	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.401	-18.277	-1240.859
2	Port 2: NDI 8700340  s/n:34802401	474380	1	OK	0.8043748	-0.1932344	-0.4491685	-0.3374750	77.881	-12.841	-1247.363	0.1051062	0	Stray Markers	474380	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.024	-17.400	-1235.251
2	Port 2: NDI 8700340  s/n:34802401	474383	1	OK	0.8039944	-0.1922525	-0.4497178	-0.3382099	77.803	-11.705	-1247.380	0.1058936	0	Stray Markers	474383	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.391	-18.206	-1240.805
2	Port 2: NDI 8700340  s/n:34802401	474386	1	OK	0.8031123	-0.1918698	-0.4502528	-0.3398075	77.747	-10.747	-1247.413	0.0976676	0	Stray Markers	474386	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.379	-18.173	-1240.727
2	Port 2: NDI 8700340  s/n:34802401	474389	1	OK	0.8032320	-0.1915022	-0.4502993	-0.3396702	77.667	-9.623	-1247.419	0.0958800	0	Stray Markers	474389	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.074	-16.977	-1237.720
2	Port 2: NDI 8700340  s/n:34802401	474392	1	OK	0.8033239	-0.1908336	-0.4505374	-0.3395134	77.586	-8.635	-1247.404	0.1041127	0	Stray Markers	474392	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.020	-17.359	-1235.125
